Payment_ID,Payment_Mode,Card_Type,Card_Number,CVV,Name_On_Card,Customer_ID,Visit_Number,Employee_ID
P10,online,credit,2637231147,259,Tom,10001,1,E100
P11,online,debit,2314090152,628,Robert,10002,1,E100
P12,online,debit,3160466116,750,Sandra,10002,2,E100
P13,online,debit,1924770950,643,Meyer,10002,3,E100
P14,online,debit,2605710031,348,Laura,10002,4,E100
P15,online,debit,1760861438,372,Paul,10002,5,E101
P16,online,debit,2486382462,821,Stephen,10002,6,E101
P17,online,debit,2026172246,573,Richard,10002,7,E102
P18,online,debit,1652325458,664,Danie,10002,8,E102
P19,online,debit,1593155579,527,Danie,10003,1,E104
P20,online,debit,3600749836,366,Danie,10003,2,E104
P21,online,debit,1629603244,331,Danie,10003,3,E104
P22,online,credit,2196257042,497,Danie,10003,4,E104
P23,online,credit,3176037606,699,Danie,10003,5,E104
P24,online,credit,4227850650,867,Danie,10003,6,E104
P25,online,credit,1922366282,870,Danie,10005,1,E104
P26,online,credit,4290419995,890,Danie,10006,1,E104
P27,online,credit,1831996471,268,Paul,10006,2,E104
P28,online,credit,2394100413,417,Paul,10006,3,E104
P29,online,credit,1127802595,488,Paul,10006,4,E115
P30,online,credit,3211572399,599,Paul,10006,5,E115
P31,online,credit,3754477702,376,Paul,10007,1,E115
P32,online,credit,4332207305,283,Paul,10007,2,E115
P33,online,credit,1370698763,642,Paul,10007,3,E115
P34,online,credit,3046243391,150,Paul,10007,4,E115
P35,online,debit,2145277261,644,Paul,10007,5,E115
P36,online,debit,1427358687,815,Paul,10007,6,E115
P37,online,debit,3879003240,704,Paul,10007,7,E115
P38,online,debit,1494504380,518,Mike,10007,8,E115
P39,online,debit,1513724846,471,Mike,10007,9,E115
P40,online,debit,1150749080,659,Mike,10007,10,E115
P41,online,debit,2021084797,490,Mike,10008,1,E115
P42,online,debit,2583687271,846,Mike,10008,2,E115
P43,online,debit,2643425696,265,Mike,10008,3,E115
P44,direct,debit,1627922960,258,Mike,10009,1,E116
P45,direct,debit,3349298033,660,Mike,10009,2,E116
P46,direct,debit,2556226002,517,Mike,10009,3,E116
P47,direct,debit,2122858396,441,Mike,10009,4,E116
P48,direct,debit,4327209833,326,Mike,10009,5,E116
P49,direct,credit,3216903325,487,Mike,10009,6,E116
P50,direct,credit,1819229414,813,Mike,10009,7,E116
P51,direct,credit,2751033800,882,Mike,10009,8,E117
P52,direct,credit,1641183774,308,Mike,10009,9,E116
P53,direct,credit,1194550010,350,Mike,10010,1,E117
P54,direct,credit,1408194222,377,Esteller,10010,2,E117
P55,direct,credit,1342371996,318,Esteller,10010,3,E117
P56,direct,credit,3259865998,562,Esteller,10010,4,E117
P57,direct,credit,4198907218,691,Esteller,10010,5,E117
P58,direct,credit,1253548883,134,Esteller,10011,1,E117
P59,direct,credit,2769503830,288,Esteller,10012,1,E117
P60,direct,credit,4111052432,774,Esteller,10013,1,E119
P61,direct,credit,2733430220,310,Esteller,10014,1,E119
P62,direct,credit,1481583127,206,Esteller,10015,1,E118
P63,direct,credit,1754015666,590,Esteller,10016,1,E118
P64,direct,credit,4327697062,143,Esteller,10017,1,E108
P65,direct,credit,2776996454,445,Esteller,10018,1,E108
P66,direct,credit,1508118285,102,Esteller,10019,1,E108
P67,direct,credit,3613558356,618,Sandra,10020,1,E108
P68,direct,credit,1377075209,387,Sandra,20000,1,E108
P69,direct,credit,1775034267,308,Sandra,20001,1,E108
P70,direct,credit,1086781067,817,Sandra,20002,1,E108
P71,direct,credit,4289402597,398,Sandra,20003,1,E108
P72,direct,credit,1867595319,166,Sandra,20004,1,E108
P73,direct,credit,2153326098,334,Sandra,20005,1,E108
P74,direct,credit,2287425122,767,Sandra,20006,1,E112
P75,direct,credit,3153569739,796,Sandra,20007,1,E112
P76,direct,credit,2907204337,378,Sandra,20008,1,E112
P77,direct,credit,3379971129,610,Adam,20009,1,E112
P78,direct,credit,3559421590,516,Adam,20010,1,E112
P79,direct,credit,4068575013,848,Adam,20011,1,E113
P89,direct,credit,2740985596,114,Robert,30000,1,E113
P90,direct,credit,4209354840,880,Robert,30001,1,E113
P91,direct,credit,1903101101,552,Robert,30002,1,E113
P92,direct,credit,1022378637,861,Robert,30003,1,E114
P93,direct,credit,3940621897,596,Robert,30004,1,E114
P94,direct,credit,1793626701,885,Robert,30005,1,E114
P95,direct,credit,1936844809,677,Robert,30006,1,E114
P96,direct,credit,1121240227,433,Robert,30007,1,E114
P97,direct,credit,4160078849,842,Robert,30008,1,E114
